main_address,primary_building_name
641 Lexington Ave,
65 Broadway,The American Express Building
65 E 55th St,Park Avenue Tower
650 5th Ave,The Piaget Building
650 Madison Ave,
652 Madison Ave,
655 3rd Ave,The Lorillard Building
655 5th Ave,
655 Madison Ave,
66 E 55th St,Heron Tower
66 W 21th St,
661 Broadway,
670 Broadway,
675 3rd Ave,The Xerox Building
68 Trinity Pl,
685 3rd Ave,The Winstar Building
689 5th Ave,The Aeolian Building
693 5th Ave,The Takashimaya Building
7 Times Square,Times Square Tower
7 W 34th St,
7 W 45th St,
700 Ave Of The Americas,The Haymarket Building
700 Lexington Ave,702 Lexington Ave
708 Broadway,The Audubon Building
71 5th Ave,
71 Spring St,
71 Thomas St,
71 W 55th St,The Capitol-EMI Building
711 3rd Ave,
711 5th Ave,
712 5th Ave,
72 Madison Ave,
72 Spring St,The Langsdorf Building
720 5th Ave,The Sabena Building
722 Lexington Ave,
726 Broadway,
730 3rd Ave,The General Telephone Building
733 3rd Ave,The Diamond National Building
745 5th Ave,The Squibb Building
747 3rd Ave,
75 9th Ave,
75 Broad St,The ITT Building
75 Maiden Lane,
75 Spring St,
750 3rd Ave,
750 Lexington Ave,International Plaza
757 3rd Ave,"The Harcourt, Brace & World Building"
767 3rd Ave,
77 Water St,
770 Broadway,
770 Lexington Ave,The Brown Harris Stevens Building
776 3rd Ave,
777 3rd Ave,The United States Plywood Building
78 Maiden Lane,
787 7th Ave,AXA Center
79 5th Ave,
79 Madison Ave,
8 W 14th St,
800 3rd Ave,The North American Plywood Building
805 3rd Ave,
815 2nd Ave,
817 Broadway,The Weld Building
825 7th Ave,
825 8th Ave,One Worldwide Plaza
83 University Place,
830 3rd Ave,The Girl Scouts of the USA Building
84 5th Ave,
84 Wooster St,
845 3rd Ave,
847 11th St,Frank 57 West
849 Broadway,The Union Building
85 5th Ave,The Houghton Mifflin & Company Building
856 Ave Of The Americas,
860 Broadway,
860 Washington St,860 Washington
87 5th Ave,
875 3rd Ave,
880 3rd Ave,
885 2nd Ave,One Dag Hammarskjold Plaza
888 7th Ave,
9 E 38th St,
90 Park Ave,The Sterling Drug Company Building
900 3rd Ave,
902 Broadway,
909 3rd Ave,
91 5th Ave,
915 Broadway,
919 3rd Ave,
921 Broadway,The Bradish Johnson Building
974 Madison Ave,
99 Madison Ave,The Kiamie Mayflower Building
979 3rd Ave,The Decoration & Design Building
